standard_key,standard_title,grade,level,text
engages_and_explores,ENGAGES AND EXPLORES,12,extending,"Demonstrates thorough and excellent engagement in artistic exploration, experimenting with a wide range of new ideas independently and purposefully that effectively achieve a clear intention that thoroughly show creative risks to expand ideas"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,9,emerging,"Demonstrates limited control of familiar tools or materials

Uses basic techniques and/or vocabulary with limited accuracy"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,9,developing,"Demonstrates some control using familiar tools and materials

Uses common techniques and/or vocabulary with some accuracy"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,9,proficient,"Demonstrates consistent technical skill and control of tools and materials

Uses appropriate techniques and/or vocabulary with accuracy"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,9,extending,"Demonstrates refined and confident technical skill and control of tools and materials

Uses and applies a range of appropriate techniques and/or vocabulary with precision"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,10,emerging,"Demonstrates basic technical skills with inconsistent control of tools and materials

Uses limited artistic vocabulary, techniques and/or methods with support"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,10,developing,"Demonstrates some technical skills with adequate control and accuracy with tools and materials

Uses some artistic vocabulary, techniques and/or methods with some confidence"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,10,proficient,"Demonstrates consistent technical skill and abilities with substantial control of tools and materials

Uses and applies a range of substantial artistic vocabulary, techniques and/or methods with independence"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,10,extending,"Demonstrates advanced technical skill and ability with confident control of tools and materials, establishing creativity and precision throughout

Uses and applies wide range of excellent artistic vocabulary, techniques and/or methods with independence"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,11,emerging,"Begins to demonstrate use of technical skills often showing hesitancy in control of tools and materials

Uses and applies limited artistic vocabulary, techniques and/or methods with support"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,11,developing,"Adequately demonstrates use of technical skills often showing some confidence in control of tools and materials

Uses and applies a range of adequate artistic vocabulary, techniques and/or methods with some independence"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,11,proficient,"Consistently demonstrates use of technical skills often showing substantial confidence in control of tools and materials

Uses and applies a range of substantial artistic vocabulary, techniques and/or methods with independence, describing their importance to the context"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,11,extending,"Confidently and excellently demonstrates use of technical skills often showing thorough confidence in control of tools and materials

Uses and applies wide range of excellent artistic vocabulary, techniques and/or methods with independence, thoroughly describing their importance to the context"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,12,emerging,"Demonstrates minimal technical control and shows inconsistent confidence with tools and materials

Uses and applies limited artistic vocabulary, techniques and/or methods"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,12,developing,"Adequately demonstrates use of technical skills; control of tools and materials shows some confidence and consistency

Uses and applies a range of adequate artistic vocabulary, techniques and/or methods with some independence, explaining their importance to the context"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,12,proficient,"Regularly demonstrates effective use of technical skills; control of tools and materials shows substantial confidence and consistency across contexts

Uses and applies a range of substantial artistic vocabulary, techniques and/or methods with independence, thoroughly explaining their importance to the context"
applying_skills_and_techniques,APPLYING SKILLS AND TECHNIQUES,12,extending,"Masterfully demonstrates highly effective use of technical skills; control of tools and materials shows excellent confidence and consistency across a range of contexts

Uses and applies a range of substantial artistic vocabulary, techniques and/or methods with independence"
creating,CREATING,9,emerging,"Begins to create, identifying ideas with minimal creative intent

Applies feedback with minimal revision(s) or reflection(s) to refine artistic work"
creating,CREATING,9,developing,"Adequately creates, identifying ideas with some creative intent

Applies feedback with some revisions or reflections to refine artistic work"
creating,CREATING,9,proficient,"Substantially creates, outlining ideas with creative intent

Applies feedback to present substantial revisions or reflections to refine artistic work"
creating,CREATING,9,extending,"Excellently creates, outlining ideas with purposeful and consistent creative intent

Applies feedback to present thorough and purposeful revisions or reflections to refine artistic work"
creating,CREATING,10,emerging,"Begins to create, outlining ideas with occasional creative intent

Applies feedback with minimal revision(s) or reflection(s) to refine artistic work"
creating,CREATING,10,developing,"Adequately creates, outlining ideas with some creative intent

Applies feedback with some revisions or reflections to refine artistic work"
creating,CREATING,10,proficient,"Substantially creates, developing ideas with substantial creative intent

Applies feedback to present substantial revisions or reflections to refine artistic work"
creating,CREATING,10,extending,"Excellently creates, developing ideas with purposeful and consistent creative intent

Applies feedback to present thorough and purposeful revisions or reflections to refine artistic work"
creating,CREATING,11,emerging,"Begins to create, developing ideas with minimal creative intent

Applies feedback with minimal revision(s) or reflection(s) to refine artistic work"
creating,CREATING,11,developing,"Adequately creates, developing and applying ideas with some creative intent

Applies feedback with some revisions or reflections to refine artistic work"
creating,CREATING,11,proficient,"Substantially creates, developing and applying Ideas with substantial creative intent

Applies feedback to present substantial revisions or reflections to refine artistic work"
creating,CREATING,11,extending,"Excellently creates, developing and applying ideas with purposeful and consistent creative intent

Applies feedback to present thorough and purposeful revisions or reflections to refine artistic work"
creating,CREATING,12,emerging,"Begins to create, developing and applying ideas with minimal creative intent

Applies feedback with minimal revision(s) or reflection(s) to refine artistic work"
creating,CREATING,12,developing,"Adequately creates, developing and applying ideas with some creative intent

Applies feedback with some revisions or reflections to refine artistic work"
creating,CREATING,12,proficient,"Consistently creates, developing and applying ideas with substantial creative intent

Applies feedback to present substantial revisions or reflections to refine artistic work"
creating,CREATING,12,extending,"Excellently creates, developing and applying ideas with purposeful and consistent creative intent

Applies feedback to present thorough and purposeful revisions or reflections to refine artistic work"
analyzing,ANALYZING,9,emerging,"Describes artistic works of others with limited observation, outlining how technique and message interact

Presents a limited commentary of certain elements or principles of their artwork"
analyzing,ANALYZING,9,developing,"Describes artistic works of others with some observation, outlining how technique and message interact

Presents an adequate commentary of certain elements or principles of their artwork"
analyzing,ANALYZING,9,proficient,"Describes artistic works of others with substantial observation, interpreting how technique and message interact

Presents a substantial commentary of certain elements or principles of their artwork"
analyzing,ANALYZING,9,extending,"Explain artistic works of others with excellent observation, analyzing how technique and message interact

Presents an excellent commentary of certain elements or principles of their artwork"
analyzing,ANALYZING,10,emerging,"Describes artistic works of others with limited observation, outlining how technique and message relate

Presents a limited evaluation of certain elements and principles of their artwork"
analyzing,ANALYZING,10,developing,"Describes artistic works of others with some observation, interpreting how technique and message relate

Presents an adequate evaluation of certain elements and principles of their artwork"
analyzing,ANALYZING,10,proficient,"Explains artistic works of others with substantial observation, analyzing how technique and message relate

Presents a substantial evaluation of certain elements and principles of their artwork"
analyzing,ANALYZING,10,extending,"Explains artistic works of others with excellent observation, analyzing how technique and message relate

Presents an excellent evaluation of certain elements and principles of their artwork"
analyzing,ANALYZING,11,emerging,"Explains artistic works of others with limited observation, interpreting how technique and message develop meaning

Presents a limited evaluation of their artwork"
analyzing,ANALYZING,11,developing,"Explains artistic works of others with some observation, analyzing how technique and message develop meaning

Presents an adequate evaluation of their artwork"
analyzing,ANALYZING,11,proficient,"Evaluates artistic works of others with substantial observation, analyzing how technique and message develop meaning

Presents a substantial evaluation of their artwork"
analyzing,ANALYZING,11,extending,"Evaluates artistic works of others with excellent observation, analyzing how technique and message develop meaning

Presents an excellent evaluation of their artwork"
analyzing,ANALYZING,12,emerging,"Begins to evaluate artistic works of others with limited observation, analyzing how technique and message develop meaning

Presents a limited critique of their artwork"
analyzing,ANALYZING,12,developing,"Somewhat evaluates artistic works of others with some observation, analyzing how technique and message develop meaning

Presents an adequate critique of their artwork"
analyzing,ANALYZING,12,proficient,"Evaluates artistic works of others with substantial observation, analyzing and justifying how technique and message develop meaning

Presents a substantial critique of their artwork"
analyzing,ANALYZING,12,extending,"Evaluates artistic works of others with excellent observation, analyzing and justifying how technique and message develop meaning

Presents an excellent critique of their artwork"
presenting_and_sharing,PRESENTING AND SHARING,9,emerging,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) in a limited way, demonstrating minimal consideration of context"
presenting_and_sharing,PRESENTING AND SHARING,9,developing,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) adequately, demonstrating some consideration of context"
presenting_and_sharing,PRESENTING AND SHARING,9,proficient,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) substantially, demonstrating appropriate connection to the context"
presenting_and_sharing,PRESENTING AND SHARING,9,extending,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) excellently, demonstrating excellent connection to the context"
presenting_and_sharing,PRESENTING AND SHARING,10,emerging,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) in a limited way, beginning to demonstrate connection to the context"
presenting_and_sharing,PRESENTING AND SHARING,10,developing,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) adequately, somewhat demonstrating connection to the context"
presenting_and_sharing,PRESENTING AND SHARING,10,proficient,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) substantially, demonstrating connection to the context and attentiveness to most relevant details"
presenting_and_sharing,PRESENTING AND SHARING,10,extending,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) excellently, completely demonstrating connection to the context and attentiveness to all relevant details"
presenting_and_sharing,PRESENTING AND SHARING,11,emerging,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) in a limited way, beginning to demonstrate connection to the context and attentiveness to details"
presenting_and_sharing,PRESENTING AND SHARING,11,developing,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) adequately, somewhat demonstrating connection to the context and attentiveness to details"
presenting_and_sharing,PRESENTING AND SHARING,11,proficient,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) substantially, demonstrating connection to the context, attentiveness to most relevant details, and effective consideration of audience"
presenting_and_sharing,PRESENTING AND SHARING,11,extending,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) excellently, completely demonstrating connection to the context, attentiveness to all relevant details, and completely effective consideration of audience"
presenting_and_sharing,PRESENTING AND SHARING,12,emerging,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) in a limited way, beginning to demonstrate connection to the context, attentiveness to details, and consideration of audience"
presenting_and_sharing,PRESENTING AND SHARING,12,developing,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) adequately, somewhat demonstrating connection to the context, attentiveness to details, and consideration of audience"
presenting_and_sharing,PRESENTING AND SHARING,12,proficient,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) substantially, demonstrating connection to the context, attentiveness to details, and consideration of audience with a clear and deliberate creative intention"
presenting_and_sharing,PRESENTING AND SHARING,12,extending,"Creates, presents, and shares artistic work (display, portfolio, exhibition or performance) excellently, completely demonstrating connection to the context, attentiveness to details, and consideration of audience with a thoroughly clear and deliberate creative intention"
